Entrant Name	Eligible for Ranking	Fearless	Love Arcade	Big Boss	Supernova	My Generation	Running in the 90s	Megalovania	RAD	Crab Rave	VTubers Never Die!
ValeskaRose	TRUE	90242	93525	93135	94790	95350	90570	91157	83719	84799	90278
DIGI	TRUE	96859	98601	99375	98240	98652	98509	98407	98022	98024	98397
madewithlinux	TRUE	98134	97451	98884	98126	98374	99351	98338	97954	97246	99070
Karitxg	TRUE	94335	96691	96827	96404	95396	96406	94987	92902	94435	97022
Siobhan	TRUE	90920	92604	86116	91983	90695	83870	89282	81560	69518	87471
Aleree	TRUE	96739	96445	98727	97961	98175	98582	96656	94045	96502	96168
Allucivox	TRUE	90086	91777	98120	97655	95499	92179	95517	90558	87421	91058
NabiChou	FALSE	0	0	0	0	0	99527	0	0	0	0
Pyrona	FALSE	0	0	99920	0	0	0	0	0	0	0
ZephyrNoBar	FALSE	99759	99799	100000	100000	99779	99829	99713	99725	99721	99895
Lenni	FALSE	0	0	99960	0	0	0	0	0	0	0
Stayflyangel	FALSE	98092	99350	99720	99877	99091	99320	99056	98050	99038	99041
Arual	FALSE	97866	99750	99920	99633	99493	99794	98984	99053	99076	99479
