Hard
DIGI	82.1
madewithlinux	69.7
Aleree	45.6
Karitxg	29.1
Allucivox	23.6
ValeskaRose	16.2
Siobhan	11.2

Intro to Wild
NabiChou	76.0
MeGoesMoo	73.6
Plasticky	56.6
Pyrona	56.2
Stayflyangel	41.5
madewithlinux	33.6
Cassindia1987	29.9
Aleree	19.7
ceri	16.4
Allucivox	13.2
ValeskaRose	9.9

Wild
EMCAT	83.7
Shpadoinkle	81.4
abbeycat	65.5
mxl100	59.7
Lenni	55.5
Hamaon	52.8
rinrin	50.3
ZephyrNoBar	36.3
CTEMI	36.0
Thaya	34.0
freyja	32.2
MeGoesMoo	22.9
Lazy	21.9
Shinobee	11.9
madewithlinux	9.6
Cassindia1987	8.4
JTOX	7.3
Aleree	1.7
Plasticky	1.5
