Hard
ZephyrNoBar	90.0
Arual	68.3
Stayflyangel	62.3
DIGI	48.5
madewithlinux	47.9
Aleree	35.9
Karitxg	28.8
Allucivox	25.7
ValeskaRose	21.8
Siobhan	19.0
Lenni	8.4
NabiChou	7.1
Pyrona	7.1

Intro to Wild
ZephyrNoBar	78.4
NabiChou	65.1
MeGoesMoo	64.8
JTOX	60.6
Pyrona	54.0
Plasticky	50.7
Stayflyangel	43.9
Lenni	39.0
madewithlinux	37.7
Cassindia1987	35.2
Aleree	28.3
ceri	26.0
Allucivox	22.6
ValeskaRose	21.6
Hamaon	18.5
Shpadoinkle	10.0
abbeycat	9.0
mxl100	8.1
rinrin	5.8
Thaya	5.2

Wild
EMCAT	83.7
Shpadoinkle	81.4
abbeycat	65.5
mxl100	59.7
Lenni	55.5
Hamaon	52.8
rinrin	50.3
ZephyrNoBar	36.3
CTEMI	36.0
Thaya	34.0
freyja	32.2
MeGoesMoo	22.9
Lazy	21.9
Shinobee	11.9
madewithlinux	9.6
Cassindia1987	8.4
JTOX	7.3
Aleree	1.7
Plasticky	1.5
